Year ,Province ,Division ,District,Usage (in 1000 nutirient tons),Area Sown Total (Wheat),Area Sown (Rice),Area Sown (Cotton),Area Sown (Sugarcane),Wheat Production ,Rice Production ,Cotton Production ,Sugarcane Production,Output/acre wheat,Output/Acre (Rice),Output/Acre (Cotton),Output/Acre (Sugarcane)
2011-12,Punjab,D.G.Khan Divn.     ,Layyah,61,191,7,48,9,456,9,147,629,2.387434555,1.285714286,3.0625,69.88888889
2011-12,Punjab,D.G.Khan Divn.     ,Muzaffargarh,90,299,23,171,28,823,41,661,2372,2.752508361,1.782608696,3.865497076,84.71428571
2011-12,Punjab,D.G.Khan Divn.     ,Rajanpur,58,160,2,124,12,377,4,475,1281,2.35625,2,3.830645161,106.75
2011-12,Punjab,Faisalabad Divn.            ,Faisalabad,95,281,28,61,105,856,46,170,5769,3.046263345,1.642857143,2.786885246,54.94285714
2011-12,Punjab,Faisalabad Divn.            ,Chiniot           ,30,98,29,4,43,301,56,10,2618,3.071428571,1.931034483,2.5,60.88372093
2011-12,Punjab,Faisalabad Divn.            ,Jhang,116,261,56,74,49,741,91,215,3221,2.83908046,1.625,2.905405405,65.73469388
2011-12,Punjab,Faisalabad Divn.            ,T.T. Singh,71,153,30,59,42,476,53,192,2721,3.111111111,1.766666667,3.254237288,64.78571429
2011-12,Punjab,Gujranwala Divn.     ,Gujranwala,123,236,249,0,2,823,545,0,116,3.487288136,2.18875502,0,58
2011-12,Punjab,Gujranwala Divn.     ,Gujrat,21,151,37,0,2,266,56,0,108,1.761589404,1.513513514,0,54
2011-12,Punjab,Gujranwala Divn.     ,Hafizabad,52,154,126,0,5,475,252,0,251,3.084415584,2,0,50.2
2011-12,Punjab,Gujranwala Divn.     ,Mandi Baha-ud-Din,61,136,80,2,34,371,149,4,1842,2.727941176,1.8625,2,54.17647059
2011-12,Punjab,Gujranwala Divn.     ,Narowal,57,169,91,0,2,373,146,0,63,2.207100592,1.604395604,0,31.5
2011-12,Punjab,Gujranwala Divn.     ,Sialkot,32,205,151,0,2,597,290,0,53,2.912195122,1.920529801,0,26.5
2011-12,Punjab,Lahore Divn.                                        ,Lahore,70,64,32,0,0.2,192,56,0,18,3,1.75,0,90
2011-12,Punjab,Lahore Divn.                                        ,Kasur                                                        ,92,184,77,19,40,570,147,49,2155,3.097826087,1.909090909,2.578947368,53.875
2011-12,Punjab,Lahore Divn.                                        ,Nankana Sahib,24,113,98,2,19,352,175,3,1033,3.115044248,1.785714286,1.5,54.36842105
2011-12,Punjab,Lahore Divn.                                        ,Sheikhupura,87,229,206,0,4,658,368,0,189,2.873362445,1.786407767,0,47.25
2011-12,Punjab,Multan Divn.                                      ,Multan,190,167,11,180,3,435,17,870,205,2.604790419,1.545454545,4.833333333,68.33333333
2011-12,Punjab,Multan Divn.                                      ,Khanewal,102,195,22,209,9,574,37,1053,421,2.943589744,1.681818182,5.038277512,46.77777778
2011-12,Punjab,Multan Divn.                                      ,Lodhran                                                    ,114,166,6,211,2,500,9,971,105,3.012048193,1.5,4.601895735,52.5
2011-12,Punjab,Multan Divn.                                      ,Vehari,134,236,19,230,18,756,37,1111,1084,3.203389831,1.947368421,4.830434783,60.22222222
2011-12,Punjab,Rawalpindi Divn.                               ,Rawalpindi,17,117,0,0,0,144,0,0,0,1.230769231,0,0,0
2011-12,Punjab,Rawalpindi Divn.                               ,Attock,8,155,0,0,0.2,167,0,0,7,1.077419355,0,0,35
2011-12,Punjab,Rawalpindi Divn.                               ,Chakwal,3,122,0,0,0,113,0,0,0,0.926229508,0,0,0
2011-12,Punjab,Rawalpindi Divn.                               ,Jhelum,2,50,1,0.2,0.2,69,2,0.5,8,1.38,2,2.5,40
2011-12,Punjab,Sahiwal Divn.                                   ,Sahiwal,89,134,21,97,9,415,36,446,404,3.097014925,1.714285714,4.597938144,44.88888889
2011-12,Punjab,Sahiwal Divn.                                   ,Okara,127,205,111,35,17,727,256,150,858,3.546341463,2.306306306,4.285714286,50.47058824
2011-12,Punjab,Sahiwal Divn.                                   ,Pakpattan,92,141,40,55,4,475,91,264,234,3.368794326,2.275,4.8,58.5
2011-12,Punjab,Sargodha Divn.                                     ,Sargodha,66,211,41,13,60,562,69,33,3520,2.663507109,1.682926829,2.538461538,58.66666667
2011-12,Punjab,Sargodha Divn.                                     ,Bhakkar,33,174,1,25,15,388,2,83,924,2.229885057,2,3.32,61.6
2011-12,Punjab,Sargodha Divn.                                     ,Khushab,14,86,16,3,7,145,28,6,330,1.686046512,1.75,2,47.14285714
2011-12,Punjab,Sargodha Divn.                                     ,Mianwali,16,175,3,34,3,386,5,95,202,2.205714286,1.666666667,2.794117647,67.33333333
2012-13,Punjab,Bahawalpur Divn.                      ,Bahawalpur,100,263,4,273,18,795,6,1176,1000,3.022813688,1.5,4.307692308,55.55555556
2012-13,Punjab,Bahawalpur Divn.                      ,Bahawalnagar,102,332,50,229,18,998,106,1082,1050,3.006024096,2.12,4.72489083,58.33333333
2012-13,Punjab,Bahawalpur Divn.                      ,Rahim Yar Khan,135,275,16,222,108,925,29,914,8653,3.363636364,1.8125,4.117117117,80.12037037
2012-13,Punjab,D.G.Khan Divn.     ,D.G. Khan,85,177,24,73,4,444,54,242,364,2.508474576,2.25,3.315068493,91
2012-13,Punjab,D.G.Khan Divn.     ,Layyah,52,217,6,53,12,498,9,154,736,2.294930876,1.5,2.905660377,61.33333333
2012-13,Punjab,D.G.Khan Divn.     ,Muzaffargarh,89,312,23,164,40,807,47,608,2508,2.586538462,2.043478261,3.707317073,62.7
2012-13,Punjab,D.G.Khan Divn.     ,Rajanpur,40,177,1,107,18,412,2,378,1121,2.327683616,2,3.53271028,62.27777778
2012-13,Punjab,Faisalabad Divn.            ,Faisalabad,91,301,28,45,105,865,50,117,5559,2.873754153,1.785714286,2.6,52.94285714
2012-13,Punjab,Faisalabad Divn.            ,Chiniot           ,35,120,28,4,49,299,57,7,2522,2.491666667,2.035714286,1.75,51.46938776
2012-13,Punjab,Faisalabad Divn.            ,Jhang,108,293,59,59,60,771,95,150,2976,2.631399317,1.610169492,2.542372881,49.6
2012-13,Punjab,Faisalabad Divn.            ,T.T. Singh,59,172,30,44,47,506,55,142,2375,2.941860465,1.833333333,3.227272727,50.53191489
2012-13,Punjab,Gujranwala Divn.     ,Gujranwala,154,238,247,0,2,736,578,0,95,3.092436975,2.340080972,0,47.5
2012-13,Punjab,Gujranwala Divn.     ,Gujrat,14,154,36,0,2,187,63,0,109,1.214285714,1.75,0,54.5
2012-13,Punjab,Gujranwala Divn.     ,Hafizabad,54,158,129,0,6,473,272,0,264,2.993670886,2.108527132,0,44
2012-13,Punjab,Gujranwala Divn.     ,Mandi Baha-ud-Din,78,142,81,2,38,389,157,3,1863,2.73943662,1.938271605,1.5,49.02631579
2012-13,Punjab,Gujranwala Divn.     ,Narowal,98,164,89,0,2,328,149,0,63,2,1.674157303,0,31.5
2012-13,Punjab,Gujranwala Divn.     ,Sialkot,31,210,151,0,2,610,303,0,54,2.904761905,2.006622517,0,27
2012-13,Punjab,Lahore Divn.                                        ,Lahore,64,55,29,0,0.2,174,59,0,18,3.163636364,2.034482759,0,90
2012-13,Punjab,Lahore Divn.                                        ,Kasur                                                        ,87,179,75,12,43,536,160,30,2044,2.994413408,2.133333333,2.5,47.53488372
2012-13,Punjab,Lahore Divn.                                        ,Nankana Sahib,31,119,96,1,21,368,186,2,1035,3.092436975,1.9375,2,49.28571429
2012-13,Punjab,Lahore Divn.                                        ,Sheikhupura,82,221,206,0,4,672,382,2,203,3.040723982,1.854368932,0,50.75
2012-13,Punjab,Multan Divn.                                      ,Multan,121,172,10,169,4,502,16,775,186,2.918604651,1.6,4.585798817,46.5
2012-13,Punjab,Multan Divn.                                      ,Khanewal,88,202,20,200,8,628,36,940,408,3.108910891,1.8,4.7,51
2012-13,Punjab,Multan Divn.                                      ,Lodhran                                                    ,97,192,6,191,2,610,10,803,137,3.177083333,1.666666667,4.204188482,68.5
2012-13,Punjab,Multan Divn.                                      ,Vehari,95,251,18,224,18,821,36,1050,1042,3.270916335,2,4.6875,57.88888889
2012-13,Punjab,Rawalpindi Divn.                               ,Rawalpindi,22,4,0,0,0,7,0,0,0,1.75,0,0,0
2012-13,Punjab,Rawalpindi Divn.                               ,Attock,4,14,0,0,0.2,36,0,0,0,2.571428571,0,0,0
2012-13,Punjab,Rawalpindi Divn.                               ,Chakwal,5,7,0,0.2,0,11,0,0.5,0,1.571428571,0,2.5,0
2012-13,Punjab,Rawalpindi Divn.                               ,Jhelum,12,15,1,0.2,0.2,46,2,0.5,16,3.066666667,2,2.5,80
2012-13,Punjab,Sahiwal Divn.                                   ,Sahiwal,144,135,25,87,9,422,49,406,344,3.125925926,1.96,4.666666667,38.22222222
2012-13,Punjab,Sahiwal Divn.                                   ,Okara,147,214,123,28,17,766,304,139,696,3.579439252,2.471544715,4.964285714,40.94117647
2012-13,Punjab,Sahiwal Divn.                                   ,Pakpattan,74,152,45,42,4,530,117,180,190,3.486842105,2.6,4.285714286,47.5
2012-13,Punjab,Sargodha Divn.                                     ,Sargodha,52,210,37,11,64,577,61,26,3675,2.747619048,1.648648649,2.363636364,57.421875
2012-13,Punjab,Sargodha Divn.                                     ,Bhakkar,33,160,0,24,18,401,1,86,1035,2.50625,0,3.583333333,57.5
2012-13,Punjab,Sargodha Divn.                                     ,Khushab,19,61,16,3,7,142,23,6,447,2.327868852,1.4375,2,63.85714286
2012-13,Punjab,Sargodha Divn.                                     ,Mianwali,26,149,3,41,4,412,5,109,194,2.765100671,1.666666667,2.658536585,48.5
2013-14,Punjab,Bahawalpur Divn.                      ,Bahawalpur,122,289,7,268,22,879,10,1152,1371,3.041522491,1.428571429,4.298507463,62.31818182
2013-14,Punjab,Bahawalpur Divn.                      ,Bahawalnagar,116,354,61,228,16,1086,128,1085,895,3.06779661,2.098360656,4.75877193,55.9375
2013-14,Punjab,Bahawalpur Divn.                      ,Rahim Yar Khan,179,289,22,206,132,985,42,910,9826,3.408304498,1.909090909,4.417475728,74.43939394
2013-14,Punjab,D.G.Khan Divn.     ,D.G. Khan,103,154,28,88,6,481,63,317,370,3.123376623,2.25,3.602272727,61.66666667
2013-14,Punjab,D.G.Khan Divn.     ,Layyah,70,214,7,51,14,584,11,146,749,2.728971963,1.571428571,2.862745098,53.5
2013-14,Punjab,D.G.Khan Divn.     ,Muzaffargarh,95,299,28,153,47,869,56,549,2790,2.906354515,2,3.588235294,59.36170213
2013-14,Punjab,D.G.Khan Divn.     ,Rajanpur,68,150,2,99,27,447,5,459,1946,2.98,2.5,4.636363636,72.07407407
2013-14,Punjab,Faisalabad Divn.            ,Faisalabad,97,301,30,33,111,950,53,81,5537,3.156146179,1.766666667,2.454545455,49.88288288
2013-14,Punjab,Faisalabad Divn.            ,Chiniot           ,45,120,35,3,43,377,66,6,2312,3.141666667,1.885714286,2,53.76744186
2013-14,Punjab,Faisalabad Divn.            ,Jhang,112,292,61,46,52,893,107,116,3009,3.058219178,1.754098361,2.52173913,57.86538462
2013-14,Punjab,Faisalabad Divn.            ,T.T. Singh,70,172,36,42,40,568,61,141,2314,3.302325581,1.694444444,3.357142857,57.85
2013-14,Punjab,Gujranwala Divn.     ,Gujranwala,162,237,249,0,2,753,494,0,75,3.17721519,1.983935743,0,37.5
2013-14,Punjab,Gujranwala Divn.     ,Gujrat,12,86,40,0,2,169,63,0,108,1.965116279,1.575,0,54
2013-14,Punjab,Gujranwala Divn.     ,Hafizabad,57,158,133,0,6,487,271,0,259,3.082278481,2.037593985,0,43.16666667
2013-14,Punjab,Gujranwala Divn.     ,Mandi Baha-ud-Din,70,140,86,1,28,367,159,1,1306,2.621428571,1.848837209,1,46.64285714
2013-14,Punjab,Gujranwala Divn.     ,Narowal,67,121,83,0,2,339,134,0,63,2.801652893,1.614457831,0,31.5
2013-14,Punjab,Gujranwala Divn.     ,Sialkot,27,207,150,0,2,629,261,0,53,3.038647343,1.74,0,26.5
2013-14,Punjab,Lahore Divn.                                        ,Lahore,53,60,38,0,0.2,173,65,0,19,2.883333333,1.710526316,0,95
2013-14,Punjab,Lahore Divn.                                        ,Kasur                                                        ,93,182,77,12,37,548,153,29,1872,3.010989011,1.987012987,2.416666667,50.59459459
2013-14,Punjab,Lahore Divn.                                        ,Nankana Sahib,35,125,104,1,22,387,208,2,1005,3.096,2,2,45.68181818
2013-14,Punjab,Lahore Divn.                                        ,Sheikhupura,91,225,196,0,2,690,352,0,113,3.066666667,1.795918367,0,56.5
2013-14,Punjab,Multan Divn.                                      ,Multan,143,185,14,158,4,544,24,690,179,2.940540541,1.714285714,4.367088608,44.75
2013-14,Punjab,Multan Divn.                                      ,Khanewal,74,215,27,196,8,681,46,956,397,3.16744186,1.703703704,4.87755102,49.625
2013-14,Punjab,Multan Divn.                                      ,Lodhran                                                    ,114,208,6,184,2,681,8,755,114,3.274038462,1.333333333,4.10326087,57
2013-14,Punjab,Multan Divn.                                      ,Vehari,108,267,23,209,17,884,46,938,1024,3.310861423,2,4.488038278,60.23529412
2013-14,Punjab,Rawalpindi Divn.                               ,Rawalpindi,20,117,0,0,0,8,0,0,0,0.068376068,0,0,0
2013-14,Punjab,Rawalpindi Divn.                               ,Attock,9,159,0,0,0,32,0,0,0,0.201257862,0,0,0
2013-14,Punjab,Rawalpindi Divn.                               ,Chakwal,2,120,0,0,0,11,0,0.5,0,0.091666667,0,0,0
2013-14,Punjab,Rawalpindi Divn.                               ,Jhelum,5,54,1,0.2,0.2,44,2,1,16,0.814814815,2,5,80
2013-14,Punjab,Sahiwal Divn.                                   ,Sahiwal,155,145,26,82,7,464,44,327,349,3.2,1.692307692,3.987804878,49.85714286
2013-14,Punjab,Sahiwal Divn.                                   ,Okara,207,227,125,23,14,815,319,100,663,3.59030837,2.552,4.347826087,47.35714286
2013-14,Punjab,Sahiwal Divn.                                   ,Pakpattan,83,158,47,39,3,560,111,169,161,3.544303797,2.361702128,4.333333333,53.66666667
2013-14,Punjab,Sargodha Divn.                                     ,Sargodha,49,222,45,8,66,513,84,9,3316,2.310810811,1.866666667,1.125,50.24242424
2013-14,Punjab,Sargodha Divn.                                     ,Bhakkar,42,173,1,25,20,428,2,75,1028,2.473988439,2,3,51.4
2013-14,Punjab,Sargodha Divn.                                     ,Khushab,10,90,18,2,7,125,28,3,302,1.388888889,1.555555556,1.5,43.14285714
2013-14,Punjab,Sargodha Divn.                                     ,Mianwali,24,178,3,42,3,423,5,128,163,2.376404494,1.666666667,3.047619048,54.33333333
2014-15,Punjab,Bahawalpur Divn.                      ,Bahawalpur,137,294,10,280,21,902,19,1287,1325,3.068027211,1.9,4.596428571,63.0952381
2014-15,Punjab,Bahawalpur Divn.                      ,Bahawalnagar,122,363,66,239,14,1153,138,1119,788,3.17630854,2.090909091,4.682008368,56.28571429
2014-15,Punjab,Bahawalpur Divn.                      ,Rahim Yar Khan,226,318,27,219,126,1018,53,1034,9338,3.201257862,1.962962963,4.721461187,74.11111111
2014-15,Punjab,D.G.Khan Divn.     ,D.G. Khan,96,180,43,109,7,548,93,471,389,3.044444444,2.162790698,4.321100917,55.57142857
2014-15,Punjab,D.G.Khan Divn.     ,Layyah,76,222,12,54,14,584,20,172,764,2.630630631,1.666666667,3.185185185,54.57142857
2014-15,Punjab,D.G.Khan Divn.     ,Muzaffargarh,102,291,40,142,45,856,77,631,2634,2.941580756,1.925,4.443661972,58.53333333
2014-15,Punjab,D.G.Khan Divn.     ,Rajanpur,77,155,2,144,28,475,3,700,1865,3.064516129,1.5,4.861111111,66.60714286
2014-15,Punjab,Faisalabad Divn.            ,Faisalabad,109,306,31,30,104,978,58,100,5621,3.196078431,1.870967742,3.333333333,54.04807692
2014-15,Punjab,Faisalabad Divn.            ,Chiniot           ,50,120,41,2,38,348,70,5,2057,2.9,1.707317073,2.5,54.13157895
2014-15,Punjab,Faisalabad Divn.            ,Jhang,106,303,53,36,47,931,94,98,2632,3.072607261,1.773584906,2.722222222,56
2014-15,Punjab,Faisalabad Divn.            ,T.T. Singh,72,168,39,43,39,554,81,197,2240,3.297619048,2.076923077,4.581395349,57.43589744
2014-15,Punjab,Gujranwala Divn.     ,Gujranwala,124,231,238,0,2,631,472,0,63,2.731601732,1.983193277,0,31.5
2014-15,Punjab,Gujranwala Divn.     ,Gujrat,26,87,49,0,2,149,71,0,88,1.712643678,1.448979592,0,44
2014-15,Punjab,Gujranwala Divn.     ,Hafizabad,43,163,123,0,5,499,237,0,242,3.061349693,1.926829268,0,48.4
2014-15,Punjab,Gujranwala Divn.     ,Mandi Baha-ud-Din,71,143,74,1,21,351,127,2,958,2.454545455,1.716216216,2,45.61904762
2014-15,Punjab,Gujranwala Divn.     ,Narowal,45,119,75,0,1,227,123,0,55,1.907563025,1.64,0,55
2014-15,Punjab,Gujranwala Divn.     ,Sialkot,52,211,140,0,1,361,248,0,39,1.710900474,1.771428571,0,39
2014-15,Punjab,Lahore Divn.                                        ,Lahore,47,60,40,0,0.2,164,79,0,20,2.733333333,1.975,0,100
2014-15,Punjab,Lahore Divn.                                        ,Kasur                                                        ,90,167,84,11,33,514,164,28,1680,3.077844311,1.952380952,2.545454545,50.90909091
2014-15,Punjab,Lahore Divn.                                        ,Nankana Sahib,52,126,109,1,15,420,222,1,767,3.333333333,2.036697248,1,51.13333333
2014-15,Punjab,Lahore Divn.                                        ,Sheikhupura,65,222,200,0,3,712,357,1,133,3.207207207,1.785,0,44.33333333
2014-15,Punjab,Multan Divn.                                      ,Multan,197,190,17,146,3,576,33,663,159,3.031578947,1.941176471,4.54109589,53
2014-15,Punjab,Multan Divn.                                      ,Khanewal,121,201,24,191,7,638,50,893,447,3.174129353,2.083333333,4.67539267,63.85714286
2014-15,Punjab,Multan Divn.                                      ,Lodhran                                                    ,116,204,6,199,2,637,13,908,92,3.12254902,2.166666667,4.56281407,46
2014-15,Punjab,Multan Divn.                                      ,Vehari,161,273,31,208,16,899,64,947,948,3.293040293,2.064516129,4.552884615,59.25
2014-15,Punjab,Rawalpindi Divn.                               ,Rawalpindi,31,4,0,0,0,7,0,0,0,1.75,0,0,0
2014-15,Punjab,Rawalpindi Divn.                               ,Attock,5,17,0,0,0,35,0,0,0,2.058823529,0,0,0
2014-15,Punjab,Rawalpindi Divn.                               ,Chakwal,15,5,0,0.2,0,9,0,1,0,1.8,0,5,0
2014-15,Punjab,Rawalpindi Divn.                               ,Jhelum,5,18,1,0.2,0.2,47,2,1,15,2.611111111,2,5,75
2014-15,Punjab,Sahiwal Divn.                                   ,Sahiwal,92,152,29,81,6,462,58,350,292,3.039473684,2,4.320987654,48.66666667
2014-15,Punjab,Sahiwal Divn.                                   ,Okara,173,205,144,20,14,711,362,93,673,3.468292683,2.513888889,4.65,48.07142857
2014-15,Punjab,Sahiwal Divn.                                   ,Pakpattan,97,154,54,51,3,519,128,226,122,3.37012987,2.37037037,4.431372549,40.66666667
2014-15,Punjab,Sargodha Divn.                                     ,Sargodha,51,221,42,8,60,510,76,15,2975,2.307692308,1.80952381,1.875,49.58333333
2014-15,Punjab,Sargodha Divn.                                     ,Bhakkar,47,164,1,48,22,382,2,158,1160,2.329268293,2,3.291666667,52.72727273
2014-15,Punjab,Sargodha Divn.                                     ,Khushab,10,66,25,1,8,149,44,2,380,2.257575758,1.76,2,47.5
2014-15,Punjab,Sargodha Divn.                                     ,Mianwali,29,153,7,58,3,295,10,174,113,1.928104575,1.428571429,3,37.66666667
