District,Mean_NDVI,Year
Chiniot,0.45156556067881026,2002
Chiniot,0.44953657778142203,2003
Chiniot,0.46500944017110735,2004
Chiniot,0.4354430403936428,2005
Chiniot,0.47764510030900664,2006
Chiniot,0.43005135151637425,2007
Chiniot,0.4576912974377524,2008
Chiniot,0.4431665488910542,2009
Chiniot,0.44680694805998644,2010
Chiniot,0.4292066670699267,2011
Chiniot,0.4784132076471412,2012
Chiniot,0.47812347649049164,2013
Chiniot,0.4599993432270905,2014
Chiniot,0.48571166675554434,2015
Lahore,0.36381074448424766,2002
Lahore,0.4081529060300958,2003
Lahore,0.42123906660200144,2004
Lahore,0.383142261376926,2005
Lahore,0.4405595695333095,2006
Lahore,0.38543138753283007,2007
Lahore,0.4072210799516788,2008
Lahore,0.3756911590025119,2009
Lahore,0.39782375773844175,2010
Lahore,0.38596009875894344,2011
Lahore,0.4241940266686682,2012
Lahore,0.4186648709406737,2013
Lahore,0.411893882941521,2014
Lahore,0.4059840570800559,2015
Bhakkar,0.257566821719311,2002
Bhakkar,0.22907603930397155,2003
Bhakkar,0.3029585467612231,2004
Bhakkar,0.22275087772605365,2005
Bhakkar,0.32016601193254485,2006
Bhakkar,0.24872306206290853,2007
Bhakkar,0.2697951757270615,2008
Bhakkar,0.25429828181205266,2009
Bhakkar,0.25713648429028824,2010
Bhakkar,0.23275892176092167,2011
Bhakkar,0.3097569459252975,2012
Bhakkar,0.28347080292914195,2013
Bhakkar,0.31283179603870803,2014
Bhakkar,0.291155392023595,2015
Gujrat,0.3621311584473563,2002
Gujrat,0.42771472803639854,2003
Gujrat,0.41771786418126805,2004
Gujrat,0.3543939554936309,2005
Gujrat,0.4485346520811495,2006
Gujrat,0.36056998634977233,2007
Gujrat,0.4172827415847782,2008
Gujrat,0.329579143993516,2009
Gujrat,0.3999190224651177,2010
Gujrat,0.36689893132817875,2011
Gujrat,0.422999455982463,2012
Gujrat,0.430883753589714,2013
Gujrat,0.4306861235149719,2014
Gujrat,0.4550231550288382,2015
Mandi Bahauddin,0.4475177557198337,2002
Mandi Bahauddin,0.48858069266400805,2003
Mandi Bahauddin,0.4935195454875752,2004
Mandi Bahauddin,0.46136871769683147,2005
Mandi Bahauddin,0.4944748713827953,2006
Mandi Bahauddin,0.4569837653899697,2007
Mandi Bahauddin,0.4980227403186216,2008
Mandi Bahauddin,0.43959196443490417,2009
Mandi Bahauddin,0.4726401472045774,2010
Mandi Bahauddin,0.46183925214288013,2011
Mandi Bahauddin,0.5046275122643646,2012
Mandi Bahauddin,0.5033176357393191,2013
Mandi Bahauddin,0.4914874152943063,2014
Mandi Bahauddin,0.5175917434703826,2015
Hafizabad,0.415293709840242,2002
Hafizabad,0.46999877026419806,2003
Hafizabad,0.49470845630757965,2004
Hafizabad,0.44515203567453665,2005
Hafizabad,0.49945072024684434,2006
Hafizabad,0.4586814665284868,2007
Hafizabad,0.49444389422678475,2008
Hafizabad,0.4520445425028192,2009
Hafizabad,0.4902363533804732,2010
Hafizabad,0.47698736997067337,2011
Hafizabad,0.5090373737019039,2012
Hafizabad,0.5194159822688829,2013
Hafizabad,0.49258870394144216,2014
Hafizabad,0.5066062163333104,2015
Khushab,0.29936068860433146,2002
Khushab,0.26819450097662956,2003
Khushab,0.31047986456743504,2004
Khushab,0.251169662502387,2005
Khushab,0.34288357961798743,2006
Khushab,0.277084056790907,2007
Khushab,0.303416915253584,2008
Khushab,0.2605037047231448,2009
Khushab,0.29519936589773577,2010
Khushab,0.27266537309136796,2011
Khushab,0.3156636823271183,2012
Khushab,0.30043185453562227,2013
Khushab,0.32161372218278633,2014
Khushab,0.32464451953578977,2015
Attock,0.27153436729813,2002
Attock,0.3054829612240694,2003
Attock,0.3175297035497157,2004
Attock,0.26496354182455056,2005
Attock,0.3232356369853313,2006
Attock,0.29456957832476655,2007
Attock,0.3152454800717911,2008
Attock,0.2245489150867885,2009
Attock,0.30440696745028034,2010
Attock,0.2915486861196346,2011
Attock,0.30778367018438696,2012
Attock,0.3161264032653032,2013
Attock,0.32971669463034353,2014
Attock,0.36554453976729967,2015
Jhang,0.38041885215763216,2002
Jhang,0.36791483605949776,2003
Jhang,0.4225456056751448,2004
Jhang,0.3701144328348966,2005
Jhang,0.4264302944606792,2006
Jhang,0.37924936118988806,2007
Jhang,0.4114421404076925,2008
Jhang,0.3962066345081245,2009
Jhang,0.4031274387130121,2010
Jhang,0.3721150578542384,2011
Jhang,0.4406240225784959,2012
Jhang,0.4192596536843803,2013
Jhang,0.4126406337623332,2014
Jhang,0.43032078918495065,2015
Bahawalnagar,0.29427036570158516,2002
Bahawalnagar,0.3232594863218799,2003
Bahawalnagar,0.3299316466076583,2004
Bahawalnagar,0.3026208913010045,2005
Bahawalnagar,0.3328726168450956,2006
Bahawalnagar,0.3233113707223125,2007
Bahawalnagar,0.3336460883161748,2008
Bahawalnagar,0.3250920582908527,2009
Bahawalnagar,0.3612138445727066,2010
Bahawalnagar,0.3454834450204486,2011
Bahawalnagar,0.3737875309358888,2012
Bahawalnagar,0.3648253351025342,2013
Bahawalnagar,0.3573412432246533,2014
Bahawalnagar,0.39167372518995563,2015
Bahawalpur,0.15955596489203666,2002
Bahawalpur,0.1829026165919133,2003
Bahawalpur,0.17078077735114114,2004
Bahawalpur,0.1664424381381704,2005
Bahawalpur,0.18397354138280927,2006
Bahawalpur,0.171007497913385,2007
Bahawalpur,0.1897925735839083,2008
Bahawalpur,0.16982172722041272,2009
Bahawalpur,0.21206824377323716,2010
Bahawalpur,0.20677968337246233,2011
Bahawalpur,0.21316546896133046,2012
Bahawalpur,0.20456219604541748,2013
Bahawalpur,0.19165678941852154,2014
Bahawalpur,0.23609642953273702,2015
Chakwal,0.27021659760420425,2002
Chakwal,0.30007899316005887,2003
Chakwal,0.3027991882914937,2004
Chakwal,0.25464448441965526,2005
Chakwal,0.32241089333901307,2006
Chakwal,0.3015893327704356,2007
Chakwal,0.29208213479296113,2008
Chakwal,0.2037590373349526,2009
Chakwal,0.30052072984224537,2010
Chakwal,0.2905765013891847,2011
Chakwal,0.30938266442535567,2012
Chakwal,0.31726275646820523,2013
Chakwal,0.3259512372965195,2014
Chakwal,0.34887832975002037,2015
Dera Ghazi Khan,0.1953349860277166,2002
Dera Ghazi Khan,0.21001389965225012,2003
Dera Ghazi Khan,0.22488433146235598,2004
Dera Ghazi Khan,0.20653439814325253,2005
Dera Ghazi Khan,0.2418642554438797,2006
Dera Ghazi Khan,0.22100190765047173,2007
Dera Ghazi Khan,0.23806430706231121,2008
Dera Ghazi Khan,0.2240915729478328,2009
Dera Ghazi Khan,0.24417335406092192,2010
Dera Ghazi Khan,0.24091118275949583,2011
Dera Ghazi Khan,0.27191049522503385,2012
Dera Ghazi Khan,0.25372727648874255,2013
Dera Ghazi Khan,0.24846023540796683,2014
Dera Ghazi Khan,0.27152206192388423,2015
Faisalabad,0.4485962970540678,2002
Faisalabad,0.4556369620341666,2003
Faisalabad,0.4715853537309783,2004
Faisalabad,0.43303849273288486,2005
Faisalabad,0.4891891684923149,2006
Faisalabad,0.4297459132511638,2007
Faisalabad,0.45071928768314473,2008
Faisalabad,0.44517664600249707,2009
Faisalabad,0.45700704469388165,2010
Faisalabad,0.42818937624705167,2011
Faisalabad,0.47868261794447636,2012
Faisalabad,0.4701754898937113,2013
Faisalabad,0.4715813721445749,2014
Faisalabad,0.4807122298502825,2015
Gujranwala,0.42349855520355234,2002
Gujranwala,0.4943851787754722,2003
Gujranwala,0.5181611693546307,2004
Gujranwala,0.46010799717941964,2005
Gujranwala,0.5220245685385818,2006
Gujranwala,0.4697357763262969,2007
Gujranwala,0.518674155009487,2008
Gujranwala,0.4564755231321632,2009
Gujranwala,0.49535968495562993,2010
Gujranwala,0.4739114545292931,2011
Gujranwala,0.5167280805105134,2012
Gujranwala,0.5228962825175044,2013
Gujranwala,0.49887776771623865,2014
Gujranwala,0.5009645390511839,2015
Jhelum,0.28420236780646174,2002
Jhelum,0.31869472864066645,2003
Jhelum,0.30909653479312,2004
Jhelum,0.2766465450922502,2005
Jhelum,0.3534702828800065,2006
Jhelum,0.29485574128698133,2007
Jhelum,0.30620880808336176,2008
Jhelum,0.24679141055534243,2009
Jhelum,0.3132879503014168,2010
Jhelum,0.2962246540555111,2011
Jhelum,0.3294562557866139,2012
Jhelum,0.33680288403658204,2013
Jhelum,0.35750454206037524,2014
Jhelum,0.3840520580036008,2015
Kasur,0.4329028765173437,2002
Kasur,0.46202201140933347,2003
Kasur,0.48088704987476033,2004
Kasur,0.44212070977691426,2005
Kasur,0.4955252539189597,2006
Kasur,0.4533621713307343,2007
Kasur,0.47130870596018004,2008
Kasur,0.46788261954136967,2009
Kasur,0.47494979867478015,2010
Kasur,0.4499673916053126,2011
Kasur,0.48989837379365725,2012
Kasur,0.49005746269382133,2013
Kasur,0.4809180561319792,2014
Kasur,0.49414546510667806,2015
Khanewal,0.43954592567755824,2002
Khanewal,0.4363901686394676,2003
Khanewal,0.4797206298006837,2004
Khanewal,0.438116740843582,2005
Khanewal,0.48547594974129404,2006
Khanewal,0.4268343709517163,2007
Khanewal,0.46424350193336705,2008
Khanewal,0.45610935176666245,2009
Khanewal,0.4599045724701598,2010
Khanewal,0.43992482519924214,2011
Khanewal,0.4925937678838688,2012
Khanewal,0.49748073674211557,2013
Khanewal,0.4961696416351801,2014
Khanewal,0.5045088265889037,2015
Layyah,0.28227773792058,2002
Layyah,0.2751154409755504,2003
Layyah,0.3473486199463531,2004
Layyah,0.28348903449914686,2005
Layyah,0.3605425758112251,2006
Layyah,0.3087277154285553,2007
Layyah,0.33682294059384127,2008
Layyah,0.3262583441962501,2009
Layyah,0.3178684562201883,2010
Layyah,0.2930412363578356,2011
Layyah,0.3455707712672732,2012
Layyah,0.34366635952329005,2013
Layyah,0.34056401271020526,2014
Layyah,0.35454648267686967,2015
Lodhran,0.44498162807980846,2002
Lodhran,0.438680220480816,2003
Lodhran,0.46879762560654764,2004
Lodhran,0.44332154476553487,2005
Lodhran,0.48406181691798866,2006
Lodhran,0.4139450457938913,2007
Lodhran,0.4820769812902806,2008
Lodhran,0.45125341636701616,2009
Lodhran,0.4695864878211027,2010
Lodhran,0.4494598839621561,2011
Lodhran,0.494134780554985,2012
Lodhran,0.5045707567888943,2013
Lodhran,0.509063690058808,2014
Lodhran,0.5171801506301977,2015
Mianwali,0.2840569694513932,2002
Mianwali,0.29802342938989157,2003
Mianwali,0.31818161737228384,2004
Mianwali,0.2869220810095524,2005
Mianwali,0.3348514468230696,2006
Mianwali,0.3048038866439354,2007
Mianwali,0.30490169580059384,2008
Mianwali,0.27760872893807703,2009
Mianwali,0.3183148650221343,2010
Mianwali,0.3149072726260748,2011
Mianwali,0.3287284182890368,2012
Mianwali,0.3455249181230119,2013
Mianwali,0.33408699332352765,2014
Mianwali,0.3596133080821808,2015
Multan,0.41763521349242694,2002
Multan,0.4129328946276769,2003
Multan,0.44649169043764303,2004
Multan,0.42273552179290236,2005
Multan,0.46307515841409513,2006
Multan,0.4069962647788077,2007
Multan,0.45762220097136025,2008
Multan,0.4248291117538579,2009
Multan,0.442368600693093,2010
Multan,0.42649398196664534,2011
Multan,0.4687824802919107,2012
Multan,0.4769396078564535,2013
Multan,0.46746420885081436,2014
Multan,0.4788943088439972,2015
Muzaffargarh,0.3288745351690034,2002
Muzaffargarh,0.33788723713289137,2003
Muzaffargarh,0.37447661942264976,2004
Muzaffargarh,0.3414563347750378,2005
Muzaffargarh,0.3805714508153657,2006
Muzaffargarh,0.3390871021830818,2007
Muzaffargarh,0.37407996901193424,2008
Muzaffargarh,0.3566165014600178,2009
Muzaffargarh,0.36576897499875194,2010
Muzaffargarh,0.3484697228132444,2011
Muzaffargarh,0.3836488206724197,2012
Muzaffargarh,0.39239076891433294,2013
Muzaffargarh,0.38212444699549697,2014
Muzaffargarh,0.3924910366940737,2015
Nankana Sahib,0.42779895288224823,2002
Nankana Sahib,0.45208102380645504,2003
Nankana Sahib,0.47910416380013066,2004
Nankana Sahib,0.4355722713844523,2005
Nankana Sahib,0.4924849238561597,2006
Nankana Sahib,0.44555684861481887,2007
Nankana Sahib,0.4663262806765232,2008
Nankana Sahib,0.44831537553295475,2009
Nankana Sahib,0.47567992643520446,2010
Nankana Sahib,0.4505541810630386,2011
Nankana Sahib,0.49051655903773944,2012
Nankana Sahib,0.49353345842628904,2013
Nankana Sahib,0.47699642147615734,2014
Nankana Sahib,0.5026593173783376,2015
Narowal,0.37792536760955303,2002
Narowal,0.47523389849619646,2003
Narowal,0.4786691190869021,2004
Narowal,0.4068472586196373,2005
Narowal,0.5131992467436493,2006
Narowal,0.4328306052785136,2007
Narowal,0.46639010693607935,2008
Narowal,0.3930460047532418,2009
Narowal,0.46968419203067185,2010
Narowal,0.4348281746769554,2011
Narowal,0.48587255587831285,2012
Narowal,0.5079442431093532,2013
Narowal,0.46810521245802345,2014
Narowal,0.4667990131023194,2015
Okara,0.4692426269512749,2002
Okara,0.47631904414237325,2003
Okara,0.49799422066715426,2004
Okara,0.4503889850911925,2005
Okara,0.5004350677344815,2006
Okara,0.4564667160630908,2007
Okara,0.4830113641455515,2008
Okara,0.4901729633620502,2009
Okara,0.48700106111246805,2010
Okara,0.45641349530994846,2011
Okara,0.4908056161633775,2012
Okara,0.4917437476161139,2013
Okara,0.49388340868269126,2014
Okara,0.5048133922906708,2015
Pakpattan,0.4672448525767142,2002
Pakpattan,0.47077010481228854,2003
Pakpattan,0.49822963937395415,2004
Pakpattan,0.4514566837835432,2005
Pakpattan,0.4809244273005922,2006
Pakpattan,0.4478845684013645,2007
Pakpattan,0.47318034335787723,2008
Pakpattan,0.4752278089587592,2009
Pakpattan,0.4771772915048199,2010
Pakpattan,0.44711867156494345,2011
Pakpattan,0.48921060656021464,2012
Pakpattan,0.4882901424940459,2013
Pakpattan,0.4785812840191342,2014
Pakpattan,0.500235621865131,2015
Rahim Yar Khan,0.256619070427188,2002
Rahim Yar Khan,0.2840270343730015,2003
Rahim Yar Khan,0.2889723963700353,2004
Rahim Yar Khan,0.2716593306613528,2005
Rahim Yar Khan,0.3006796661045354,2006
Rahim Yar Khan,0.2656145448629577,2007
Rahim Yar Khan,0.29437235620719154,2008
Rahim Yar Khan,0.2661054281868872,2009
Rahim Yar Khan,0.31157017802492776,2010
Rahim Yar Khan,0.30042660945395844,2011
Rahim Yar Khan,0.31793826140945414,2012
Rahim Yar Khan,0.30799371757591587,2013
Rahim Yar Khan,0.2920587595709492,2014
Rahim Yar Khan,0.3219612620339411,2015
Rajanpur,0.183322405684173,2002
Rajanpur,0.19611045740741823,2003
Rajanpur,0.20223577163588957,2004
Rajanpur,0.19205627680437254,2005
Rajanpur,0.22055676022996198,2006
Rajanpur,0.20319488950657805,2007
Rajanpur,0.22278093035255142,2008
Rajanpur,0.20117588160969718,2009
Rajanpur,0.22521478051032665,2010
Rajanpur,0.22244597728814797,2011
Rajanpur,0.2476939391235575,2012
Rajanpur,0.22862779320078436,2013
Rajanpur,0.21789094691455513,2014
Rajanpur,0.2418856453882505,2015
Rawalpindi,0.34006353128713235,2002
Rawalpindi,0.398483240356175,2003
Rawalpindi,0.3931533269941257,2004
Rawalpindi,0.3371595531534853,2005
Rawalpindi,0.4227251070473689,2006
Rawalpindi,0.3495125581989905,2007
Rawalpindi,0.3883869983288608,2008
Rawalpindi,0.2924458823637256,2009
Rawalpindi,0.37395148456293775,2010
Rawalpindi,0.3381772182181734,2011
Rawalpindi,0.3825765073696644,2012
Rawalpindi,0.3964849080945294,2013
Rawalpindi,0.4065196413430749,2014
Rawalpindi,0.4485899780803232,2015
Sahiwal,0.47066203546887836,2002
Sahiwal,0.4715722199240695,2003
Sahiwal,0.48745761365640866,2004
Sahiwal,0.44556696636714066,2005
Sahiwal,0.48945514701896126,2006
Sahiwal,0.4486499428654095,2007
Sahiwal,0.4684702283646412,2008
Sahiwal,0.47109730389836074,2009
Sahiwal,0.4653798012812036,2010
Sahiwal,0.44935016557195306,2011
Sahiwal,0.49771520923514945,2012
Sahiwal,0.48630808415296894,2013
Sahiwal,0.48662187340364915,2014
Sahiwal,0.5037527702257977,2015
Sargodha,0.47232015148230055,2002
Sargodha,0.4731429633756246,2003
Sargodha,0.4852300952133881,2004
Sargodha,0.44842805552826615,2005
Sargodha,0.4989184437934,2006
Sargodha,0.4498865647990442,2007
Sargodha,0.4727682604364651,2008
Sargodha,0.444152357125041,2009
Sargodha,0.46583494956659316,2010
Sargodha,0.44681835266372444,2011
Sargodha,0.49983155505044863,2012
Sargodha,0.4946444786366433,2013
Sargodha,0.4921668192124247,2014
Sargodha,0.5055013987698646,2015
Sheikhupura,0.3996227041461709,2002
Sheikhupura,0.4609507573483678,2003
Sheikhupura,0.49183496282065187,2004
Sheikhupura,0.4387336048640222,2005
Sheikhupura,0.49987849653135324,2006
Sheikhupura,0.4507337560119783,2007
Sheikhupura,0.48464351715323445,2008
Sheikhupura,0.4472150439421386,2009
Sheikhupura,0.4832210565433335,2010
Sheikhupura,0.46056013624455355,2011
Sheikhupura,0.5069526082223418,2012
Sheikhupura,0.5113662433479558,2013
Sheikhupura,0.48755963681707354,2014
Sheikhupura,0.5053525532694015,2015
Sialkot,0.4162078059343438,2002
Sialkot,0.4925225049624046,2003
Sialkot,0.5057412030984477,2004
Sialkot,0.44637538019955936,2005
Sialkot,0.5283072646983051,2006
Sialkot,0.46066585347711025,2007
Sialkot,0.5158363938499045,2008
Sialkot,0.4262163297100731,2009
Sialkot,0.49008670567184326,2010
Sialkot,0.4523325045657515,2011
Sialkot,0.5086706109459924,2012
Sialkot,0.517649775811323,2013
Sialkot,0.48118269651599394,2014
Sialkot,0.4916135114730041,2015
Toba Tek Singh,0.45348534000404345,2002
Toba Tek Singh,0.4396773694043189,2003
Toba Tek Singh,0.46858170497285856,2004
Toba Tek Singh,0.4300100930895228,2005
Toba Tek Singh,0.4852095651671202,2006
Toba Tek Singh,0.44271602991741865,2007
Toba Tek Singh,0.4611305064883306,2008
Toba Tek Singh,0.44718221361132793,2009
Toba Tek Singh,0.46255415659820426,2010
Toba Tek Singh,0.4382278778349026,2011
Toba Tek Singh,0.49877302848022925,2012
Toba Tek Singh,0.48080178902031456,2013
Toba Tek Singh,0.48216555319445104,2014
Toba Tek Singh,0.4961413226362295,2015
Vehari,0.4579630661039157,2002
Vehari,0.4500687486465179,2003
Vehari,0.48129388814099294,2004
Vehari,0.45168466054582707,2005
Vehari,0.4814439355200904,2006
Vehari,0.44117382723032267,2007
Vehari,0.47249002638217336,2008
Vehari,0.4685248562496493,2009
Vehari,0.46790735555943963,2010
Vehari,0.4449633870452086,2011
Vehari,0.49818191691437497,2012
Vehari,0.4929033009501456,2013
Vehari,0.4856316979750514,2014
Vehari,0.497557791129649,2015
